cine_index_1based,cine_frame_number,time_s,time_from_trigger_s,threshold_enhanced,area_px,area_fraction,perimeter_px,perimeter_density,euler_chi,euler_density,perimeter_mm,area_mm2,roi_area_mm2,perimeter_mm_per_mm2
57,-7544,0.0073684210526315,-0.9926315789473684,45.7589111328125,117550,0.0782139929524235,44531.36965520117,0.0296297425127492,-490,-0.0003260302556077,764.2545873257496,34.62315467494521,442.67212768444114,1.7264574377507422
59,-7542,0.0076315789473684,-0.9923684210526316,44.69377517700195,122243,0.0813365643597032,45736.29649534825,0.0304314621161813,-331,-0.0002202367645023,784.9337371498956,36.00543000365229,442.67212768444114,1.773171808344427
61,-7540,0.0078947368421052,-0.9921052631578948,44.786163330078125,128214,0.0853094759030372,46953.19599028486,0.0312411479394121,-198,-0.0001317428379802,805.8183636170509,37.76412720964207,442.67212768444114,1.8203503523751976
63,-7538,0.0081578947368421,-0.991842105263158,50.65411376953125,116668,0.0776271384923296,42459.79169852151,0.028251381103101,-186,-0.0001237584235572,728.7018305016529,34.36337056245434,442.67212768444114,1.6461434658499847
65,-7536,0.0084210526315789,-0.991578947368421,51.36393737792969,118388,0.0787715712262996,42636.90230485266,0.0283692248097398,-57,-3.792596850946952e-05,731.7414314481468,34.86997903579255,442.67212768444114,1.6530099495438952
67,-7534,0.0086842105263157,-0.9913157894736844,57.09023666381836,103839,0.0690911341062246,36950.07283170739,0.0245853912041743,-109,-7.252509767600311e-05,634.1431418414645,30.584719338933525,442.67212768444114,1.432534605597562
69,-7532,0.0089473684210526,-0.9910526315789474,55.94548034667969,101820,0.0677477563795471,37572.972326644,0.0249998485134643,-43,-2.8610818349248933e-05,644.8334439842955,29.990043462381298,442.67212768444114,1.4566840866113104
71,-7530,0.0092105263157894,-0.9907894736842106,53.08010482788086,107916,0.0718038389064546,41549.05977184679,0.0276454093421952,-295,-0.0001962835212332,713.071701489803,31.785558144631114,442.67212768444114,1.610834875057045
73,-7528,0.0094736842105263,-0.9905263157894736,48.50067138671875,121762,0.0810165224149127,42766.35327781024,0.0284553573277031,-318,-0.0002115869822107,733.9630900380945,35.863756355003645,442.67212768444114,1.6580286946850653
75,-7526,0.0097368421052631,-0.9902631578947368,47.629173278808594,125620,0.0835835116519221,44532.57762853413,0.029630546259391,-192,-0.0001277506307687,764.2753187599775,37.00009094229364,442.67212768444114,1.7265042702322366
77,-7524,0.01,-0.99,48.74391174316406,119870,0.0797576464075458,42256.208004124936,0.0281159230542813,-205,-0.0001364004130603,725.2078941248468,35.306487034331624,442.67212768444114,1.6382506346589125
79,-7522,0.0102631578947368,-0.9897368421052632,52.44377899169922,107556,0.0715643064737632,40503.89324960542,0.0269499891209728,-380,-0.0002528397900631,695.1343841486334,31.679523813002188,442.67212768444114,1.5703143267338486
81,-7520,0.0105263157894736,-0.9894736842105264,56.61212539672852,101638,0.0676266594274642,39122.20382004282,0.0260306573701753,-183,-0.0001217623199514,671.4216061007348,29.936437216946672,442.67212768444114,1.516746964876356
83,-7518,0.0107894736842105,-0.9892105263157894,49.59819793701172,112396,0.0747846869577252,42183.38062302071,0.0280674660549412,-428,-0.0002847774477553,723.9580188004905,33.10509649379109,442.67212768444114,1.6354271559572056
85,-7516,0.0110526315789473,-0.9889473684210528,48.640899658203125,115710,0.0769897160742231,41849.11359571596,0.0278450555154444,-343,-0.0002282211789254,718.2212738724224,34.081201424397364,442.67212768444114,1.6224678016873169
87,-7514,0.0113157894736842,-0.9886842105263158,52.26243591308594,106875,0.0711111909552553,38940.15208821472,0.0259095259973962,17,1.1311253765982136e-05,668.2972047571985,31.478942202337468,442.67212768444114,1.5096889163837175
89,-7512,0.011578947368421,-0.988421052631579,52.37700653076172,120995,0.0805061852597063,43179.85161904508,0.0287304858376749,-140,-9.315150160220585e-05,741.059615624152,35.637844320672016,442.67212768444114,1.6740598047149162
91,-7510,0.0118421052631578,-0.988157894736842,53.534812927246094,130694,0.0869595882171334,45668.5095193151,0.0303863588404202,-37,-2.4618611137725824e-05,783.770366074732,38.494585938641336,442.67212768444114,1.7705437434575568
93,-7508,0.0121052631578947,-0.9878947368421052,55.0859260559082,131355,0.0873993963782696,46067.23029870152,0.030651654835562,-124,-8.250561570481088e-05,790.6132767479854,38.68927675310445,442.67212768444114,1.7860019353004628
95,-7506,0.0123684210526315,-0.9876315789473684,50.66376495361328,138541,0.0921807298819371,48365.952303577214,0.0321811505964206,-588,-0.0003912363067292,830.0643165613926,40.80583982834185,442.67212768444114,1.8751221607363182
97,-7504,0.0126315789473684,-0.9873684210526316,48.66780471801758,128499,0.0854991057455846,47135.80720936065,0.0313626515770287,-686,-0.0004564423578508,808.9523669714598,37.84807105551497,442.67212768444114,1.8274300918898638
99,-7502,0.0128947368421052,-0.9871052631578948,48.96401977539063,116220,0.0773290536872025,46703.33412129524,0.0310748978802013,-705,-0.0004690843473539,801.53019370331,34.231416727538345,442.67212768444114,1.8106633410511015
101,-7500,0.0131578947368421,-0.986842105263158,55.30889892578125,94462,0.0628519796024826,37779.55410846827,0.0251373013933257,-138,-9.182076586503144e-05,648.3788340237121,27.822819539810077,442.67212768444114,1.464693152052051
103,-7498,0.0134210526315789,-0.986578947368421,53.17301559448242,101351,0.0674356988491797,40289.0049019571,0.0268070093191138,-84,-5.58909009613235e-05,691.446435479534,29.85190429145361,442.67212768444114,1.561983220168837
105,-7496,0.0136842105263157,-0.9863157894736844,52.78791046142578,99403,0.0661395622411719,37146.13675684432,0.0247158458401495,112,7.452120128176467e-05,637.5080227188146,29.27814074141709,442.67212768444114,1.440135899347298
107,-7494,0.0139473684210526,-0.9860526315789474,56.13402557373047,96801,0.064408275047108,34756.225068598884,0.0231256753940301,1,6.653678685871844e-07,596.4919707718997,28.511748155588016,442.67212768444114,1.3474802985497858
109,-7492,0.0142105263157894,-0.9857894736842104,51.81669616699219,116085,0.0772392290249433,40052.82514038638,0.026649862894554,-120,-7.984414423046214e-05,687.3930801120365,34.1916538531775,442.67212768444114,1.5528266568480333
111,-7490,0.0144736842105263,-0.9855263157894736,50.73461532592773,130626,0.0869143432020695,45864.917636223065,0.0305170424905405,-33,-2.195713966337709e-05,787.1411540270715,38.47455723155588,442.67212768444114,1.7781583813385808
113,-7488,0.0147368421052631,-0.9852631578947368,51.78384399414063,129140,0.085925606549349,45369.26897066903,0.0301872537943727,-282,-0.0001876337389415,778.6347512533738,38.036871073776474,442.67212768444114,1.7589423470736871
115,-7486,0.015,-0.985,52.25924682617188,130602,0.0868983743732234,45327.23953341751,0.0301592887572907,-542,-0.0003606293847742,777.9134352356788,38.46748827611395,442.67212768444114,1.7573128882200924
117,-7484,0.0152631578947368,-0.9847368421052632,51.84474182128906,130369,0.0867433436598426,46149.07510321719,0.0307061117386975,-538,-0.0003579679132999,792.0179105552138,38.398860500365224,442.67212768444114,1.789175014695761
119,-7482,0.0155263157894736,-0.9844736842105264,53.07738494873047,119122,0.0792599512418426,42761.93993079965,0.0284524208284093,-164,-0.0001091203304482,733.8873474610209,35.08617125639152,442.67212768444114,1.6578575915766094
121,-7480,0.0157894736842105,-0.9842105263157894,52.27191925048828,122415,0.0814510076331001,43976.3247071105,0.029260433438668,-126,-8.383635144198524e-05,754.7288159193288,36.056090850986116,442.67212768444114,1.7049386413082173
123,-7478,0.0160526315789473,-0.9839473684210528,51.2051010131836,121335,0.080732410335026,43215.96536343782,0.0287545147628082,-194,-0.0001290813665059,741.679405561703,35.73798785609934,442.67212768444114,1.6754599153132343
125,-7476,0.0163157894736842,-0.9836842105263158,46.18437194824219,141190,0.0939432893658245,49992.43967699251,0.0332633630333539,-485,-0.0003227034162647,857.9783566186551,41.5860757852447,442.67212768444114,1.938180208242668
127,-7474,0.016578947368421,-0.983421052631579,45.477577209472656,139929,0.0931042604835361,50660.25591080843,0.0337077064974559,-380,-0.0002528397900631,869.4395271179284,41.21466108473338,442.67212768444114,1.9640710872533371
129,-7472,0.0168421052631578,-0.983157894736842,44.75635147094727,128971,0.0858131593795577,47514.11882581859,0.0316143679709331,-358,-0.0002382016969542,815.4450122809405,37.9870938458729,442.67212768444114,1.842097031377206
131,-7470,0.0171052631578947,-0.9828947368421052,42.0247802734375,140519,0.0934968275260025,52386.22665302566,0.0348561119714488,-805,-0.0005356211342126,899.0609168830078,41.38843957268078,442.67212768444114,2.030986051879696
133,-7468,0.0173684210526315,-0.9826315789473684,41.84919357299805,144843,0.0963738781897735,55110.18310989301,0.0366685450732789,-835,-0.0005555821702702,945.8098993184341,42.66202971146822,442.67212768444114,2.13659239009657
135,-7466,0.0176315789473684,-0.9823684210526316,48.17948913574219,118749,0.0790117690268595,46739.64173313981,0.0310990557985078,-557,-0.000370609902803,802.1533108255074,34.97630790723155,442.67212768444114,1.8120709677870717
137,-7464,0.0178947368421052,-0.9821052631578948,47.1115608215332,128598,0.0855649771645747,47989.748334857606,0.0319308365635995,-410,-0.0002728008261207,823.6078430441778,37.877230496712926,442.67212768444114,1.860536933627063
139,-7462,0.0181578947368421,-0.9818421052631578,50.580528259277344,116203,0.0773177424334366,42330.38967826795,0.0281652811566941,-80,-5.322942948697476e-05,726.4810120459499,34.22640955076698,442.67212768444114,1.6411266185790263
141,-7460,0.0184210526315789,-0.9815789473684212,51.847415924072266,113866,0.0757627777245483,43486.308509188326,0.0289343924054833,-49,-3.260302556077204e-05,746.3190784685023,33.5380700146092,442.67212768444114,1.6859409748076932
143,-7458,0.0186842105263157,-0.9813157894736844,50.37240219116211,122210,0.0813146072200398,45354.33498784702,0.0301773172020529,-65,-4.3248911458166994e-05,778.3784518184555,35.99571018991964,442.67212768444114,1.7583633645290688
145,-7456,0.0189473684210526,-0.9810526315789474,51.70233917236328,118954,0.0791481694399199,43016.877051683245,0.0286220477971554,-73,-4.857185440686447e-05,738.2626196707799,35.036688568298025,442.67212768444114,1.6677413677082704
147,-7454,0.0192105263157894,-0.9807894736842104,50.90312957763672,120459,0.0801495480821436,44162.115687757,0.0293840527874635,-282,-0.0001876337389415,757.9173908574512,35.47997098246895,442.67212768444114,1.7121416584821276
149,-7452,0.0194736842105263,-0.9805263157894736,53.59956359863281,113702,0.0756536573941,41771.838559184485,0.0277936391890925,-506,-0.0003366761415051,716.8950671643823,33.489765485756024,442.67212768444114,1.6194718897581486
151,-7450,0.0197368421052631,-0.9802631578947368,47.56121063232422,130944,0.0871259301842802,47437.837692632704,0.0315636129559318,-835,-0.0005555821702702,814.135863103291,38.568220891161424,442.67212768444114,1.8391396525503583
153,-7448,0.02,-0.98,44.08867645263672,135470,0.0901373851575058,47348.39108322598,0.0315040980560785,-1042,-0.0006933133190678,812.6007658877971,39.90130807158509,442.67212768444114,1.8356718552360713
155,-7446,0.0202631578947368,-0.9797368421052632,40.820648193359375,134796,0.0896889272140781,48779.94342779873,0.0324566069883578,-782,-0.0005203176732351,837.1692993689782,39.70278823959094,442.67212768444114,1.891172375699593
157,-7444,0.0205263157894736,-0.9794736842105264,44.93936920166016,109888,0.0731159443433085,41968.64573775317,0.0279245883620194,-453,-0.0003014116444699,720.2727038776557,32.366390650109565,442.67212768444114,1.6271019990468027
159,-7442,0.0207894736842105,-0.9792105263157894,49.68735504150391,99627,0.0662886046437354,38770.96536343781,0.0257969545869381,-39,-2.5949346874900197e-05,665.3935947508921,29.34411765887509,442.67212768444114,1.5031296373491534
161,-7440,0.0210526315789473,-0.9789473684210528,51.60945892333984,106212,0.070670052058382,40838.43340086935,0.0271725813883761,-103,-6.853289046448e-05,700.8758164743792,31.283662308254197,442.67212768444114,1.5832842698738843
163,-7438,0.0213157894736842,-0.9786842105263158,52.90006256103516,105547,0.0702275824257715,39627.36024101643,0.0263667722213016,-85,-5.655626882991068e-05,680.0911825147414,31.087793334550764,442.67212768444114,1.536331609745135
165,-7436,0.021578947368421,-0.978421052631579,55.22962188720703,109940,0.073150543472475,39621.76016922893,0.0263630461134724,21,1.3972725240330877e-05,679.9950731746046,32.381706720233744,442.67212768444114,1.5361144979503638
167,-7434,0.0218421052631578,-0.978157894736842,51.40079498291016,121913,0.0811169929630694,42526.49732600628,0.0282957648842834,-178,-0.0001184354806085,729.8466432976753,35.90823186632578,442.67212768444114,1.6487296074306863
169,-7432,0.0221052631578947,-0.9778947368421052,49.57897186279297,128445,0.0854631758806809,45652.62430972836,0.0303757893323754,-225,-0.0001497077704321,783.4977415318244,37.83216590577063,442.67212768444114,1.769927882358884
171,-7430,0.0223684210526315,-0.9776315789473684,48.44466400146485,134748,0.0896569895563859,47248.38480710282,0.0314375570932891,-532,-0.0003539757060883,810.8844419597375,39.688650328707084,442.67212768444114,1.8317946652782633
173,-7428,0.0226315789473684,-0.9773684210526316,44.74589920043945,140659,0.0935899790276047,47902.75251893971,0.0318729523429863,-969,-0.0006447414646609,822.1148067439652,41.42967514609203,442.67212768444114,1.857164152268493
175,-7426,0.0228947368421052,-0.9771052631578948,50.91226577758789,119115,0.0792552936667624,42005.53704399432,0.0279491346518225,-524,-0.0003486527631396,720.9058384577403,35.08410947772096,442.67212768444114,1.6285322553030448
177,-7424,0.0231578947368421,-0.9768421052631578,51.18282318115234,111101,0.0739230355679047,41224.88123576535,0.027429711360601,-355,-0.0002362055933484,707.5080968840809,32.72366743973703,442.67212768444114,1.5982666462082478
179,-7422,0.0234210526315789,-0.9765789473684212,45.73865509033203,130297,0.0866954371733043,47416.13920782288,0.0315491754813423,-382,-0.0002541705258003,813.7634701883115,38.37765363403944,442.67212768444114,1.8382984138734908
181,-7420,0.0236842105263157,-0.9763157894736842,46.299800872802734,132262,0.0880028850350782,49378.583904657295,0.0328549231264952,-422,-0.0002807852405437,847.4432643096588,38.95642436084733,442.67212768444114,1.9143813475280713
183,-7418,0.0239473684210526,-0.9760526315789474,46.8887939453125,131683,0.0876176370391662,47656.19808232592,0.0317089029430058,-484,-0.0003220380483961,817.8833995209989,38.785885810810804,442.67212768444114,1.8476053683326255
185,-7416,0.0242105263157894,-0.9757894736842104,50.43431091308594,120445,0.0801402329319834,44184.70252021516,0.0293990813400343,-535,-0.0003559718096941,758.3050297388277,35.475847425127824,442.67212768444114,1.713017337923262
187,-7414,0.0244736842105263,-0.9755263157894736,52.02913665771485,129555,0.0862017342148126,46660.107499061545,0.0310461362746994,-232,-0.0001543653455122,800.7883314028129,38.15910509495982,442.67212768444114,1.8089874679746156
189,-7412,0.0247368421052631,-0.9752631578947368,54.39206314086914,128939,0.0857918676077629,48030.106453041015,0.0319576895586754,-120,-7.984414423046214e-05,824.3004756130011,37.977668571950325,442.67212768444114,1.862101596332272
191,-7410,0.025,-0.975,56.59767150878906,118287,0.0787043690715722,44488.05872582627,0.0296009248119845,-73,-4.857185440686447e-05,763.5112781324237,34.84023051497443,442.67212768444114,1.7247782961313816
193,-7408,0.0252631578947368,-0.9747368421052632,49.760963439941406,130482,0.086818530228993,51710.60619923388,0.0344065758301355,-220,-0.0001463809310891,887.4658090949597,38.4321434989043,442.67212768444114,2.004792607425218
195,-7406,0.0255263157894736,-0.9744736842105264,45.89986801147461,147482,0.0981297839949751,58110.74346369247,0.0386650215204537,-511,-0.000340002980848,997.306002687695,43.439320270270265,442.67212768444114,2.252922513790217
197,-7404,0.0257894736842105,-0.9742105263157896,48.570762634277344,135039,0.0898506116061448,53077.692418947394,0.0353161910743211,-212,-0.0001410579881404,910.9279644873403,39.77436141344046,442.67212768444114,2.0577938106297387
199,-7402,0.0260526315789473,-0.9739473684210528,59.11284637451172,104774,0.0697132530633536,41522.426078725664,0.0276276881385706,153,0.0001018012838938,712.6146097294809,30.86011406135865,442.67212768444114,1.6098023009875795
201,-7400,0.0263157894736842,-0.9736842105263158,60.55457305908203,97834,0.0650956000553586,39654.886973482266,0.0263850876246116,291,0.0001936220497588,680.5636007611145,28.81600777940102,442.67212768444114,1.5373988064734319
203,-7398,0.026578947368421,-0.973421052631579,59.05088806152344,96732,0.0643623646641755,38462.40778876243,0.0255916502911399,345,0.0002295519146625,660.0980796179498,28.491424908692473,442.67212768444114,1.4911670248380777
205,-7396,0.0268421052631578,-0.973157894736842,55.95696258544922,99161,0.0659785432169738,39386.3266196828,0.026206396194417,366,0.0002435246399029,675.9545244188804,29.206862107377646,442.67212768444114,1.5269868648715437
207,-7394,0.0271052631578947,-0.9728947368421051,51.555660247802734,114375,0.0761014499696592,44420.30850918832,0.0295558459947438,-4,-2.6614714743487378e-06,762.3485379279616,33.6879907779401,442.67212768444114,1.722151656386647
209,-7392,0.0273684210526315,-0.9726315789473684,47.1882209777832,133332,0.0887148286544664,50778.344222563006,0.0337862786657531,-164,-0.0001091203304482,871.4661778737163,39.2715819576333,442.67212768444114,1.9686493080832528
211,-7390,0.0276315789473684,-0.9723684210526315,49.00269317626953,129706,0.0863022047629693,47554.74815538887,0.0316414014213514,21,1.3972725240330877e-05,816.1422994235656,38.20358060628195,442.67212768444114,1.8436722088031545
213,-7388,0.0278947368421052,-0.9721052631578948,49.27301406860352,128730,0.0856528057232282,45270.2506807058,0.0301213702058287,-235,-0.0001563614491179,776.9353833040049,37.91610975164353,442.67212768444114,1.7551034608120692
215,-7386,0.0281578947368421,-0.9718421052631578,51.51868438720703,122027,0.0811928449000883,42366.6333649756,0.0281893965412685,-122,-8.117487996763651e-05,727.1030320745812,35.94180940467494,442.67212768444114,1.6425317669715511
217,-7384,0.0284210526315789,-0.9715789473684212,54.79996490478516,119971,0.0798248485622731,40659.41806949895,0.0270534703388977,-232,-0.0001543653455122,697.8035263278873,35.33623555514974,442.67212768444114,1.5763439410066418
219,-7382,0.0286842105263157,-0.9713157894736842,58.44816970825195,116091,0.0772432212321548,39852.67882068055,0.0265166919644058,-49,-3.260302556077204e-05,683.958136517085,34.19342109203798,442.67212768444114,1.5450670908393958
221,-7380,0.0289473684210526,-0.9710526315789474,53.71593475341797,134407,0.0894300991131977,46895.931742104185,0.0312030461486539,-87,-5.788700456708505e-05,804.8355853036799,39.58821225346968,442.67212768444114,1.8181302480318051
223,-7378,0.0292105263157894,-0.9707894736842104,56.28041076660156,126240,0.0839960397304461,43023.3154723945,0.0286263317154211,-165,-0.0001097856983168,738.3731168910947,37.18270562454346,442.67212768444114,1.667990981843438
225,-7376,0.0294736842105263,-0.9705263157894736,56.09916687011719,134779,0.0896776159603121,47339.69415205095,0.0314983113975193,-24,-1.5968828846092428e-05,812.4515077446581,39.69778106281957,442.67212768444114,1.8353346798554577
227,-7374,0.0297368421052631,-0.9702631578947368,57.02009582519531,126516,0.0841796812621762,45610.317564435565,0.0303476397834331,-106,-7.052899407024155e-05,782.7716663085563,37.26399861212563,442.67212768444114,1.7682876724205123
229,-7372,0.03,-0.97,58.19867706298828,118696,0.0789765045298244,43490.11951290161,0.0289369281249012,58,3.85913363780567e-05,746.3844835322303,34.960697297297294,442.67212768444114,1.686088725387948
231,-7370,0.0302631578947368,-0.9697368421052632,56.45287704467773,121422,0.0807902973395931,46110.11864634983,0.0306801913640239,-62,-4.125280785240544e-05,791.349333525193,35.76361281957633,442.67212768444114,1.787664693651791
233,-7368,0.0305263157894736,-0.9694736842105264,56.90284729003906,116692,0.0776431073211757,43742.35814897538,0.029104759608561,43,2.8610818349248933e-05,750.7134439080909,34.37043951789627,442.67212768444114,1.695867882703555
235,-7366,0.0307894736842105,-0.9692105263157896,57.61032104492188,109476,0.0728418127814506,39899.1134162472,0.0265475880522867,58,3.85913363780567e-05,684.7550545761343,32.24504024835646,442.67212768444114,1.5468673353300932
237,-7364,0.0310526315789473,-0.9689473684210528,55.49028778076172,106124,0.0706114996859463,39999.90840150707,0.0266146537967933,-39,-2.5949346874900197e-05,686.4849144582969,31.257742804967126,442.67212768444114,1.5507751031202437
239,-7362,0.0313157894736842,-0.9686842105263158,48.79104995727539,129259,0.0860047853257108,47603.28116397785,0.0316736937258324,-134,-8.915929439068272e-05,816.9752307871873,38.071921311176034,442.67212768444114,1.8455538076469278
241,-7360,0.031578947368421,-0.968421052631579,46.752403259277344,139898,0.0930836340796099,54528.8986591768,0.036281777077263,-286,-0.0001902952104159,935.833801312899,41.20553035062088,442.67212768444114,2.114056302139737
243,-7358,0.0318421052631578,-0.968157894736842,51.03647232055664,132954,0.0884633196001405,49849.666986309225,0.0331683666724615,-207,-0.0001377311487975,855.5280685488204,39.16024590942293,442.67212768444114,1.9326449872142926
245,-7356,0.0321052631578947,-0.9678947368421053,53.02936553955078,120719,0.0803225437279763,44128.34909372814,0.0293615855807651,-95,-6.320994751578252e-05,757.337883095064,35.55655133308984,442.67212768444114,1.7108325456508804
247,-7354,0.0323684210526315,-0.9676315789473684,52.8554916381836,116999,0.077847375256832,42861.80493785085,0.0285188677952974,-338,-0.0002248943395824,735.6012469063592,34.460863239590935,442.67212768444114,1.6617293046078847
249,-7352,0.0326315789473684,-0.9673684210526317,52.37007522583008,110107,0.0732616599065291,41625.66384824765,0.0276963792332351,-10,-6.653678685871845e-06,714.3863930712771,32.430894868517164,442.67212768444114,1.6138047742200012
251,-7350,0.0328947368421052,-0.9671052631578948,51.79571914672852,113984,0.0758412911330416,41450.68718884477,0.0275799553863157,-28,-1.8630300320441167e-05,711.3834152680115,33.57282571219868,442.67212768444114,1.6070210225097372
253,-7348,0.0331578947368421,-0.966842105263158,47.15682601928711,132202,0.0879629629629629,49362.34126397017,0.032844115795281,-401,-0.0002668125153034,847.1645054762447,38.93875197224251,442.67212768444114,1.9137516290163765
