cine_index_1based,cine_frame_number,time_s,time_from_trigger_s,threshold_enhanced,area_px,area_fraction,perimeter_px,perimeter_density,euler_chi,euler_density
1,-7600,0.0,-1.0,49.303340911865234,97970,0.06518609008548647,35468.86172031285,0.02359984092405814,-222,-0.00014771166682635495
3,-7598,0.0002631578947368421,-0.9997368421052631,49.676002502441406,104261,0.06937191934676844,38327.790652500975,0.025502080374110385,-186,-0.0001237584235572163
5,-7596,0.0005263157894736842,-0.9994736842105263,51.56575012207031,103677,0.06898334451151353,36618.17943342519,0.024364560001161193,-126,-8.383635144198524e-05
7,-7594,0.0007894736842105263,-0.9992105263157894,51.794071197509766,117511,0.07818804360554864,42225.26078197357,0.028095331767039787,-410,-0.0002728008261207456
9,-7592,0.0010526315789473684,-0.9989473684210526,53.70038986206055,132254,0.0879975620921295,44564.42521217388,0.029651736618237123,-246,-0.00016368049567244737
11,-7590,0.0013157894736842105,-0.9986842105263158,56.617088317871094,125544,0.08353294369390948,43947.42521217388,0.02924120464331883,-178,-0.00011843548060851884
13,-7588,0.0015789473684210526,-0.998421052631579,55.232444763183594,124705,0.08297470005216484,43917.68109219035,0.02922141386160239,-246,-0.00016368049567244737
15,-7586,0.0018421052631578947,-0.9981578947368421,52.22126770019531,123901,0.08243974428582075,44040.28621461173,0.02930299137058577,-296,-0.0001969488891018066
17,-7584,0.002105263157894737,-0.9978947368421053,48.5479736328125,129048,0.08586439270543898,45116.72586081227,0.030019219723640966,-432,-0.0002874389192296637
19,-7582,0.002368421052631579,-0.9976315789473684,49.338523864746094,131094,0.08722573536456836,47168.74519679603,0.03138456745552417,-525,-0.0003493181310082719
21,-7580,0.002631578947368421,-0.9973684210526316,52.727352142333984,112596,0.07491776053144263,41650.56525575656,0.027712947829674185,-113,-7.518656915035184e-05
23,-7578,0.0028947368421052633,-0.9971052631578947,52.93855285644531,111310,0.07406209745243951,40784.322615069446,0.027136577810160864,-169,-0.00011244716979123418
25,-7576,0.003157894736842105,-0.9968421052631579,48.57524871826172,122875,0.0817570768526503,45185.907534955295,0.030065250986710805,-208,-0.00013839651666613438
27,-7574,0.0034210526315789475,-0.996578947368421,48.6551628112793,121503,0.08084419213694867,45349.78473531532,0.03017428961022439,-281,-0.00018696837107299883
29,-7572,0.0036842105263157894,-0.9963157894736843,51.739173889160156,118402,0.07878088637645982,42670.851619045075,0.02839181359256403,7,4.657575080110292e-06
31,-7570,0.003947368421052632,-0.9960526315789474,51.80876922607422,125350,0.08340386232740357,45577.74501732728,0.03032596705718922,-57,-3.7925968509469516e-05
33,-7568,0.004210526315789474,-0.9957894736842106,51.379417419433594,131252,0.08733086348780514,46871.326799151546,0.031186674810204845,-24,-1.5968828846092428e-05
35,-7566,0.0044736842105263155,-0.9955263157894737,51.171104431152344,135399,0.0900901440388362,47935.04757853797,0.03189444043795708,13,8.649782291633399e-06
37,-7564,0.004736842105263158,-0.9952631578947368,50.238365173339844,145603,0.09687955776989982,50268.38062302071,0.03344696527246862,-72,-4.790648653827728e-05
